<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2014.09.17	20:00:00	0.93422	0.93860	0.93271	0.93777	9937	0	1
2014.09.17	21:00:00	0.93763	0.94247	0.93696	0.94067	7348	0	1
2014.09.17	22:00:00	0.94067	0.94130	0.94024	0.94107	2672	0	1
2014.09.17	23:00:00	0.94096	0.94277	0.94093	0.94247	2130	0	1
2014.09.18	00:00:00	0.94236	0.94294	0.94205	0.94287	2535	0	1
2014.09.18	01:00:00	0.94287	0.94330	0.94232	0.94235	1996	0	1
2014.09.18	02:00:00	0.94233	0.94235	0.94144	0.94183	2054	0	1
2014.09.18	03:00:00	0.94183	0.94206	0.94082	0.94102	2466	0	1
2014.09.18	04:00:00	0.94103	0.94134	0.94054	0.94101	1631	0	1
2014.09.18	05:00:00	0.94099	0.94145	0.94078	0.94137	1370	0	1
2014.09.18	06:00:00	0.94135	0.94180	0.94109	0.94169	1757	0	1
2014.09.18	07:00:00	0.94170	0.94211	0.94096	0.94130	2904	0	1
2014.09.18	08:00:00	0.94133	0.94157	0.93987	0.94006	3566	0	1
2014.09.18	09:00:00	0.94007	0.94088	0.93644	0.93651	5644	0	1
2014.09.18	10:00:00	0.93648	0.93763	0.93642	0.93740	3728	0	1
2014.09.18	11:00:00	0.93741	0.93857	0.93620	0.93854	4879	0	1
2014.09.18	12:00:00	0.93852	0.93886	0.93780	0.93854	2905	0	1
2014.09.18	13:00:00	0.93854	0.93883	0.93768	0.93882	2962	0	1
2014.09.18	14:00:00	0.93881	0.93987	0.93724	0.93725	5773	0	1
2014.09.18	15:00:00	0.93725	0.93751	0.93592	0.93667	4617	0	1
2014.09.18	16:00:00	0.93668	0.93707	0.93368	0.93407	6205	0	1
2014.09.18	17:00:00	0.93406	0.93516	0.93346	0.93462	3827	0	1
2014.09.18	18:00:00	0.93463	0.93463	0.93383	0.93386	2565	0	1
2014.09.18	19:00:00	0.93385	0.93497	0.93382	0.93455	1604	0	1
2014.09.18	20:00:00	0.93457	0.93483	0.93427	0.93438	1095	0	1
2014.09.18	21:00:00	0.93436	0.93437	0.93400	0.93425	1356	0	1
2014.09.18	22:00:00	0.93425	0.93426	0.93322	0.93362	1592	0	1
2014.09.18	23:00:00	0.93359	0.93428	0.93346	0.93415	1286	0	1
2014.09.19	00:00:00	0.93415	0.93456	0.93392	0.93416	2012	0	2
2014.09.19	01:00:00	0.93417	0.93448	0.93416	0.93427	1296	0	1
2014.09.19	02:00:00	0.93428	0.93522	0.93415	0.93461	3103	0	1
2014.09.19	03:00:00	0.93458	0.93594	0.93424	0.93488	3963	0	1
2014.09.19	04:00:00	0.93487	0.93528	0.93452	0.93455	2992	0	1
2014.09.19	05:00:00	0.93454	0.93455	0.93392	0.93416	2518	0	1
2014.09.19	06:00:00	0.93416	0.93436	0.93341	0.93420	2468	0	1
2014.09.19	07:00:00	0.93419	0.93530	0.93418	0.93519	3088	0	1
2014.09.19	08:00:00	0.93518	0.93699	0.93494	0.93635	3360	0	1
2014.09.19	09:00:00	0.93635	0.93657	0.93531	0.93637	3677	0	1
2014.09.19	10:00:00	0.93637	0.93804	0.93613	0.93722	4509	0	1
2014.09.19	11:00:00	0.93724	0.93781	0.93672	0.93692	3577	0	1
2014.09.19	12:00:00	0.93692	0.93843	0.93684	0.93835	3314	0	1
2014.09.19	13:00:00	0.93835	0.93900	0.93790	0.93861	3220	0	1
2014.09.19	14:00:00	0.93864	0.93936	0.93697	0.93778	4351	0	1
2014.09.19	15:00:00	0.93779	0.93996	0.93757	0.93909	4378	0	1
2014.09.19	16:00:00	0.93910	0.94083	0.93869	0.93999	5648	0	1
2014.09.19	17:00:00	0.93999	0.94064	0.93914	0.94047	4017	0	1
2014.09.19	18:00:00	0.94046	0.94087	0.94011	0.94078	2275	0	1
2014.09.19	19:00:00	0.94077	0.94078	0.93997	0.94020	1976	0	1
2014.09.19	20:00:00	0.94019	0.94083	0.94005	0.94057	1455	0	1
2014.09.19	21:00:00	0.94055	0.94068	0.94026	0.94034	1224	0	1
2014.09.19	22:00:00	0.94034	0.94100	0.94030	0.94063	1273	0	1
2014.09.22	00:00:00	0.94105	0.94112	0.94028	0.94042	4327	0	1
2014.09.22	01:00:00	0.94046	0.94067	0.93989	0.94033	5584	0	1
2014.09.22	02:00:00	0.94032	0.94033	0.93947	0.93953	10577	0	1
2014.09.22	03:00:00	0.93953	0.94002	0.93916	0.93920	9872	0	1
2014.09.22	04:00:00	0.93918	0.93933	0.93868	0.93874	9332	0	1
2014.09.22	05:00:00	0.93879	0.93882	0.93762	0.93869	9159	0	1
2014.09.22	06:00:00	0.93872	0.93874	0.93833	0.93864	3095	0	1
2014.09.22	07:00:00	0.93863	0.93903	0.93833	0.93841	3886	0	4
2014.09.22	08:00:00	0.93843	0.93875	0.93798	0.93817	3610	0	3
2014.09.22	09:00:00	0.93814	0.93930	0.93791	0.93906	13762	0	1
2014.09.22	10:00:00	0.93910	0.93996	0.93899	0.93995	4968	0	1
2014.09.22	11:00:00	0.93996	0.94002	0.93892	0.93902	2656	0	1
2014.09.22	12:00:00	0.93904	0.94043	0.93892	0.94025	2733	0	1
2014.09.22	13:00:00	0.94024	0.94029	0.93939	0.93944	2006	0	1
2014.09.22	14:00:00	0.93945	0.93982	0.93861	0.93886	3304	0	1
2014.09.22	15:00:00	0.93885	0.94029	0.93874	0.93965	4179	0	1
2014.09.22	16:00:00	0.93959	0.94166	0.93901	0.94166	5303	0	1
2014.09.22	17:00:00	0.94164	0.94213	0.94056	0.94103	3918	0	1
2014.09.22	18:00:00	0.94103	0.94142	0.94031	0.94084	2162	0	1
2014.09.22	19:00:00	0.94085	0.94157	0.94074	0.94127	1674	0	1
2014.09.22	20:00:00	0.94127	0.94128	0.94016	0.94099	1822	0	1
2014.09.22	21:00:00	0.94097	0.94101	0.93984	0.93998	1622	0	1
2014.09.22	22:00:00	0.94003	0.94033	0.93971	0.93977	1187	0	1
2014.09.22	23:00:00	0.93976	0.94024	0.93976	0.94004	805	0	1
2014.09.23	00:00:00	0.94003	0.94015	0.93977	0.93983	1046	0	1
2014.09.23	01:00:00	0.93982	0.94001	0.93946	0.93995	1040	0	1
2014.09.23	02:00:00	0.94000	0.94010	0.93968	0.93978	1177	0	1
2014.09.23	03:00:00	0.93980	0.93981	0.93853	0.93924	1802	0	1
2014.09.23	04:00:00	0.93924	0.93975	0.93902	0.93936	1454	0	1
2014.09.23	05:00:00	0.93937	0.93948	0.93911	0.93940	933	0	1
2014.09.23	06:00:00	0.93939	0.93961	0.93912	0.93944	1304	0	1
2014.09.23	07:00:00	0.93942	0.93974	0.93930	0.93964	1779	0	1
2014.09.23	08:00:00	0.93965	0.94030	0.93939	0.94010	2552	0	1
2014.09.23	09:00:00	0.94011	0.94011	0.93870	0.93942	4316	0	1
2014.09.23	10:00:00	0.93942	0.93983	0.93702	0.93725	4882	0	1
2014.09.23	11:00:00	0.93725	0.93791	0.93625	0.93650	3512	0	1
2014.09.23	12:00:00	0.93651	0.93763	0.93617	0.93730	2581	0	1
2014.09.23	13:00:00	0.93730	0.93731	0.93532	0.93540	3174	0	1
2014.09.23	14:00:00	0.93544	0.93729	0.93541	0.93689	4485	0	1
2014.09.23	15:00:00	0.93692	0.93724	0.93612	0.93706	3942	0	1
2014.09.23	16:00:00	0.93705	0.93919	0.93683	0.93828	4925	0	1
2014.09.23	17:00:00	0.93829	0.93890	0.93792	0.93860	3166	0	1
2014.09.23	18:00:00	0.93858	0.94002	0.93857	0.93985	2581	0	1
2014.09.23	19:00:00	0.93988	0.93989	0.93895	0.93934	1759	0	1
2014.09.23	20:00:00	0.93934	0.93934	0.93877	0.93915	1098	0	1
2014.09.23	21:00:00	0.93916	0.93940	0.93890	0.93920	1186	0	1
2014.09.23	22:00:00	0.93921	0.93984	0.93903	0.93977	1321	0	1
2014.09.23	23:00:00	0.93975	0.93979	0.93959	0.93974	700	0	1
2014.09.24	00:00:00	0.93975	0.94012	0.93960	0.93980	1259	0	1
2014.09.24	01:00:00	0.93981	0.94023	0.93936	0.93959	1836	0	1
2014.09.24	02:00:00	0.93959	0.93982	0.93938	0.93974	1995	0	1
2014.09.24	03:00:00	0.93974	0.93998	0.93934	0.93941	1571	0	1
2014.09.24	04:00:00	0.93942	0.93969	0.93895	0.93921	1250	0	1
2014.09.24	05:00:00	0.93919	0.93938	0.93900	0.93908	1248	0	1
2014.09.24	06:00:00	0.93907	0.93926	0.93898	0.93926	1203	0	1
2014.09.24	07:00:00	0.93925	0.93996	0.93920	0.93988	1627	0	1
2014.09.24	08:00:00	0.93985	0.94068	0.93963	0.93964	2717	0	1
2014.09.24	09:00:00	0.93964	0.94021	0.93889	0.93928	3575	0	1
2014.09.24	10:00:00	0.93929	0.94039	0.93929	0.94016	3471	0	1
2014.09.24	11:00:00	0.94014	0.94041	0.93966	0.93975	2549	0	1
2014.09.24	12:00:00	0.93976	0.94034	0.93968	0.94033	2066	0	1
2014.09.24	13:00:00	0.94031	0.94185	0.94019	0.94115	2952	0	1
2014.09.24	14:00:00	0.94114	0.94175	0.94091	0.94149	3498	0	1
2014.09.24	15:00:00	0.94148	0.94474	0.94143	0.94442	6422	0	1
2014.09.24	16:00:00	0.94442	0.94547	0.94361	0.94373	5909	0	1
2014.09.24	17:00:00	0.94372	0.94497	0.94330	0.94459	3946	0	1
2014.09.24	18:00:00	0.94460	0.94536	0.94425	0.94487	2279	0	1
2014.09.24	19:00:00	0.94488	0.94504	0.94422	0.94489	1595	0	1
2014.09.24	20:00:00	0.94490	0.94533	0.94483	0.94515	1209	0	1
2014.09.24	21:00:00	0.94515	0.94564	0.94486	0.94516	1395	0	1
2014.09.24	22:00:00	0.94515	0.94584	0.94506	0.94544	1286	0	1
2014.09.24	23:00:00	0.94537	0.94579	0.94535	0.94576	919	0	1
2014.09.25	00:00:00	0.94575	0.94608	0.94564	0.94606	1613	0	1
2014.09.25	01:00:00	0.94605	0.94628	0.94588	0.94597	1811	0	1
2014.09.25	02:00:00	0.94595	0.94618	0.94548	0.94548	1961	0	1
2014.09.25	03:00:00	0.94549	0.94570	0.94522	0.94532	1345	0	1
2014.09.25	04:00:00	0.94532	0.94588	0.94528	0.94555	1907	0	1
2014.09.25	05:00:00	0.94555	0.94643	0.94555	0.94621	2121	0	1
2014.09.25	06:00:00	0.94621	0.94637	0.94601	0.94630	1268	0	1
2014.09.25	07:00:00	0.94630	0.94667	0.94617	0.94641	1877	0	1
2014.09.25	08:00:00	0.94641	0.94893	0.94604	0.94854	4308	0	1
2014.09.25	09:00:00	0.94856	0.95003	0.94703	0.95001	5578	0	1
2014.09.25	10:00:00	0.95003	0.95153	0.94898	0.94898	5423	0	1
2014.09.25	11:00:00	0.94898	0.94923	0.94806	0.94858	2815	0	1
2014.09.25	12:00:00	0.94858	0.94984	0.94845	0.94926	2437	0	1
2014.09.25	13:00:00	0.94925	0.95023	0.94921	0.94947	3064	0	1
2014.09.25	14:00:00	0.94947	0.95008	0.94843	0.94863	5139	0	1
2014.09.25	15:00:00	0.94864	0.95006	0.94750	0.94794	5697	0	1
2014.09.25	16:00:00	0.94794	0.94815	0.94565	0.94684	6642	0	1
2014.09.25	17:00:00	0.94685	0.94836	0.94663	0.94671	5440	0	1
