<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2016.05.09	03:00:00	1.29314	1.29469	1.29294	1.29396	2720	2748362000	9
2016.05.09	04:00:00	1.29391	1.29426	1.29265	1.29265	3717	3885500000	9
2016.05.09	05:00:00	1.29265	1.29419	1.29263	1.29318	3487	3999700000	9
2016.05.09	06:00:00	1.29318	1.29393	1.29274	1.29307	2859	3256100000	9
2016.05.09	07:00:00	1.29313	1.29318	1.29176	1.29177	3223	3235400000	10
2016.05.09	08:00:00	1.29177	1.29288	1.29176	1.29250	3508	3991498000	9
2016.05.09	09:00:00	1.29250	1.29302	1.29073	1.29186	6597	7952050000	9
2016.05.09	10:00:00	1.29184	1.29504	1.29164	1.29448	8361	9076294000	9
2016.05.09	11:00:00	1.29448	1.29535	1.29252	1.29313	7853	7114458000	9
2016.05.09	12:00:00	1.29314	1.29363	1.29094	1.29095	6817	7825650000	9
2016.05.09	13:00:00	1.29095	1.29263	1.29056	1.29195	6984	8171310000	9
2016.05.09	14:00:00	1.29195	1.29580	1.29161	1.29560	7333	8488646000	9
2016.05.09	15:00:00	1.29561	1.29717	1.29372	1.29714	9709	10424314000	9
2016.05.09	16:00:00	1.29713	1.29902	1.29630	1.29888	11197	12287331000	9
2016.05.09	17:00:00	1.29887	1.29920	1.29653	1.29719	11854	12129718000	9
2016.05.09	18:00:00	1.29720	1.30011	1.29643	1.29947	9933	10860862000	9
2016.05.09	19:00:00	1.29946	1.30054	1.29836	1.30002	7062	7263996000	9
2016.05.09	20:00:00	1.30002	1.30150	1.29932	1.29972	5921	6245250000	9
2016.05.09	21:00:00	1.29972	1.30036	1.29628	1.29649	6336	6307940000	9
2016.05.09	22:00:00	1.29646	1.29706	1.29594	1.29622	4566	4596946000	9
2016.05.09	23:00:00	1.29620	1.29630	1.29455	1.29620	3624	3906844000	9
2016.05.10	00:00:00	1.29613	1.29632	1.29585	1.29595	610	357800000	0
2016.05.10	01:00:00	1.29596	1.29642	1.29536	1.29565	2870	2724350000	9
2016.05.10	02:00:00	1.29566	1.29594	1.29496	1.29593	2242	2241950000	9
2016.05.10	03:00:00	1.29590	1.29767	1.29588	1.29751	3786	4312350000	9
2016.05.10	04:00:00	1.29751	1.29760	1.29612	1.29681	4364	3457600000	9
2016.05.10	05:00:00	1.29681	1.29717	1.29578	1.29665	3072	3928650000	9
2016.05.10	06:00:00	1.29665	1.29667	1.29495	1.29617	2369	2125800000	9
2016.05.10	07:00:00	1.29616	1.29673	1.29600	1.29663	2279	2616950000	9
2016.05.10	08:00:00	1.29663	1.29746	1.29628	1.29663	3115	3682249000	10
2016.05.10	09:00:00	1.29662	1.29721	1.29421	1.29430	5654	5449025000	9
2016.05.10	10:00:00	1.29429	1.29594	1.29315	1.29572	7677	9626808000	9
2016.05.10	11:00:00	1.29575	1.29657	1.29176	1.29222	7076	9396828000	9
2016.05.10	12:00:00	1.29223	1.29462	1.29207	1.29461	6880	7894675000	9
2016.05.10	13:00:00	1.29459	1.29708	1.29404	1.29682	7175	8237360000	9
2016.05.10	14:00:00	1.29682	1.29798	1.29641	1.29739	8056	7381866000	9
2016.05.10	15:00:00	1.29740	1.29772	1.29490	1.29696	8679	10007374000	9
2016.05.10	16:00:00	1.29696	1.29759	1.29197	1.29377	11508	11371694000	9
2016.05.10	17:00:00	1.29377	1.29682	1.29345	1.29458	12792	13200525000	9
2016.05.10	18:00:00	1.29459	1.29708	1.29409	1.29583	9321	9905159000	9
2016.05.10	19:00:00	1.29583	1.29622	1.29413	1.29515	5684	7333956000	9
2016.05.10	20:00:00	1.29515	1.29563	1.29197	1.29219	5418	6732880000	9
2016.05.10	21:00:00	1.29219	1.29319	1.29189	1.29266	5471	5754000000	9
2016.05.10	22:00:00	1.29263	1.29271	1.29098	1.29161	5872	5861597000	9
2016.05.10	23:00:00	1.29161	1.29207	1.29076	1.29086	3358	2838525000	9
2016.05.11	00:00:00	1.29067	1.29179	1.29042	1.29100	1517	1439247000	0
2016.05.11	01:00:00	1.29100	1.29148	1.29074	1.29130	2806	3099250000	11
2016.05.11	02:00:00	1.29130	1.29175	1.29111	1.29165	4936	5728950000	11
2016.05.11	03:00:00	1.29165	1.29180	1.29010	1.29143	3487	3442850000	9
2016.05.11	04:00:00	1.29143	1.29327	1.29077	1.29243	5286	6398300000	9
2016.05.11	05:00:00	1.29243	1.29370	1.29225	1.29303	2738	3824700000	10
2016.05.11	06:00:00	1.29304	1.29360	1.29295	1.29342	1602	1591150000	11
2016.05.11	07:00:00	1.29342	1.29362	1.29293	1.29307	1826	1709850000	9
2016.05.11	08:00:00	1.29308	1.29308	1.29079	1.29108	3278	3430694000	9
2016.05.11	09:00:00	1.29107	1.29111	1.28874	1.29081	6148	6596437000	9
2016.05.11	10:00:00	1.29081	1.29348	1.29045	1.29297	8398	8411970000	9
2016.05.11	11:00:00	1.29308	1.29416	1.29190	1.29212	7338	8585390000	9
2016.05.11	12:00:00	1.29212	1.29284	1.29027	1.29046	5500	6071360000	9
2016.05.11	13:00:00	1.29046	1.29216	1.28676	1.28746	6317	6916420000	9
2016.05.11	14:00:00	1.28746	1.28929	1.28678	1.28884	6129	6832160000	9
2016.05.11	15:00:00	1.28884	1.28953	1.28671	1.28851	7758	8360000000	9
2016.05.11	16:00:00	1.28851	1.28982	1.28727	1.28848	10207	10234380000	9
2016.05.11	17:00:00	1.28849	1.29170	1.28474	1.28509	12293	12627729000	9
2016.05.11	18:00:00	1.28510	1.28677	1.28297	1.28343	10137	11019625000	9
2016.05.11	19:00:00	1.28345	1.28526	1.28333	1.28477	5359	5297548000	9
2016.05.11	20:00:00	1.28478	1.28482	1.28297	1.28399	6089	7091928000	9
2016.05.11	21:00:00	1.28400	1.28481	1.28318	1.28367	7522	8615390000	9
2016.05.11	22:00:00	1.28367	1.28508	1.28351	1.28504	4863	6245624000	9
2016.05.11	23:00:00	1.28502	1.28531	1.28424	1.28503	4208	4259242000	9
2016.05.12	00:00:00	1.28454	1.28536	1.28416	1.28511	1584	1382699000	0
2016.05.12	01:00:00	1.28520	1.28595	1.28510	1.28581	4448	3211950000	10
2016.05.12	02:00:00	1.28581	1.28633	1.28550	1.28628	1922	1488100000	9
2016.05.12	03:00:00	1.28628	1.28628	1.28475	1.28521	3266	2666000000	9
2016.05.12	04:00:00	1.28520	1.28606	1.28479	1.28600	4783	5918200000	9
2016.05.12	05:00:00	1.28600	1.28600	1.28529	1.28568	5015	6367250000	9
2016.05.12	06:00:00	1.28568	1.28585	1.28528	1.28563	2335	3059050000	12
2016.05.12	07:00:00	1.28564	1.28601	1.28528	1.28547	2435	3364950000	9
2016.05.12	08:00:00	1.28547	1.28593	1.28482	1.28548	2326	3217400000	10
2016.05.12	09:00:00	1.28548	1.28691	1.28495	1.28661	5560	6367010000	9
2016.05.12	10:00:00	1.28669	1.28779	1.28544	1.28551	7816	7419291000	9
2016.05.12	11:00:00	1.28551	1.28628	1.28314	1.28464	7591	9071994000	9
2016.05.12	12:00:00	1.28464	1.28553	1.28249	1.28346	6544	8154121000	9
2016.05.12	13:00:00	1.28346	1.28479	1.28313	1.28479	6235	6475008000	9
2016.05.12	14:00:00	1.28481	1.28530	1.28283	1.28412	7583	9568600000	9
2016.05.12	15:00:00	1.28412	1.28470	1.27937	1.28058	9098	10206314000	9
2016.05.12	16:00:00	1.28058	1.28106	1.27711	1.28067	12312	17999145000	9
2016.05.12	17:00:00	1.28069	1.28269	1.27941	1.28115	11484	13667565000	0
2016.05.12	18:00:00	1.28117	1.28597	1.28102	1.28568	11845	13248045000	9
2016.05.12	19:00:00	1.28568	1.28589	1.28246	1.28263	8641	11799400000	9
2016.05.12	20:00:00	1.28263	1.28456	1.28251	1.28286	6440	8777510000	9
2016.05.12	21:00:00	1.28286	1.28355	1.28139	1.28217	6486	8818661000	9
2016.05.12	22:00:00	1.28217	1.28380	1.28216	1.28323	4291	5960450000	9
2016.05.12	23:00:00	1.28322	1.28455	1.28318	1.28445	2179	2335550000	9
2016.05.13	00:00:00	1.28423	1.28431	1.28360	1.28400	1205	775100000	0
2016.05.13	01:00:00	1.28401	1.28455	1.28396	1.28407	1947	2228250000	9
2016.05.13	02:00:00	1.28406	1.28452	1.28352	1.28420	1468	1145500000	9
2016.05.13	03:00:00	1.28420	1.28479	1.28401	1.28472	2427	2416800000	11
2016.05.13	04:00:00	1.28466	1.28688	1.28464	1.28667	3498	4624000000	9
2016.05.13	05:00:00	1.28666	1.28680	1.28531	1.28583	2813	3613900000	9
2016.05.13	06:00:00	1.28583	1.28593	1.28489	1.28502	2285	3200000000	9
2016.05.13	07:00:00	1.28501	1.28525	1.28447	1.28485	1989	2105650000	9
2016.05.13	08:00:00	1.28484	1.28501	1.28440	1.28471	2754	2528850000	12
2016.05.13	09:00:00	1.28471	1.28752	1.28462	1.28719	6025	7000997000	9
2016.05.13	10:00:00	1.28719	1.28821	1.28483	1.28533	7960	8400894000	9
2016.05.13	11:00:00	1.28534	1.28789	1.28532	1.28595	6753	6731860000	9
2016.05.13	12:00:00	1.28595	1.28720	1.28517	1.28697	5729	8250480000	9
2016.05.13	13:00:00	1.28697	1.28771	1.28631	1.28726	4792	8083080000	9
2016.05.13	14:00:00	1.28722	1.28750	1.28556	1.28718	5130	5913530000	9
2016.05.13	15:00:00	1.28719	1.29150	1.28667	1.28967	8780	8612589000	9
2016.05.13	16:00:00	1.28967	1.29270	1.28801	1.29223	11171	12131158000	9
2016.05.13	17:00:00	1.29237	1.29568	1.29210	1.29368	11350	12936395000	9
2016.05.13	18:00:00	1.29367	1.29570	1.29297	1.29386	8409	8960193000	9
2016.05.13	19:00:00	1.29386	1.29440	1.29295	1.29333	5360	5709311000	9
2016.05.13	20:00:00	1.29333	1.29429	1.29228	1.29421	5594	7070169000	9
2016.05.13	21:00:00	1.29420	1.29500	1.29348	1.29383	6057	8497850000	9
2016.05.13	22:00:00	1.29384	1.29407	1.29280	1.29343	3770	4251819000	9
2016.05.13	23:00:00	1.29342	1.29416	1.29261	1.29354	2474	2433800000	9
2016.05.16	00:00:00	1.29384	1.29477	1.29342	1.29448	516	1045393000	0
2016.05.16	01:00:00	1.29448	1.29573	1.29422	1.29539	1767	2372680000	9
2016.05.16	02:00:00	1.29537	1.29591	1.29461	1.29547	1835	2462950000	9
2016.05.16	03:00:00	1.29548	1.29624	1.29511	1.29574	3213	3984000000	9
2016.05.16	04:00:00	1.29575	1.29609	1.29510	1.29514	3211	3618500000	9
2016.05.16	05:00:00	1.29514	1.29527	1.29324	1.29345	3361	3991750000	9
2016.05.16	06:00:00	1.29344	1.29346	1.29267	1.29280	1722	1411050000	9
2016.05.16	07:00:00	1.29280	1.29332	1.29264	1.29282	1607	1666950000	11
2016.05.16	08:00:00	1.29280	1.29391	1.29280	1.29379	2047	2413900000	9
2016.05.16	09:00:00	1.29379	1.29381	1.29206	1.29208	4010	4702740000	9
2016.05.16	10:00:00	1.29208	1.29316	1.29090	1.29116	5615	6048744000	9
2016.05.16	11:00:00	1.29116	1.29256	1.29044	1.29136	6562	6401470000	9
